name,province,price,bedroom,bathroom,parkingarea,surfacearea,buildingarea,link
"Jual rumah di Bogor, Perumahan Elite dengan lokasi strategis - Nego sampai DEAL",Bogor,"1,7 Miliar",2,2,1,84,96,https://www.rumah123.com/properti/bogor/hos8992672/
Rumah Split Level SIAP HUNI dalam Perumahan Panorama Bukit Cinere Dekat Tol Andara Di CINERE Depok,Depok,"1,59 Miliar",4,3,1,144,130,https://www.rumah123.com/properti/depok/hos9712543/
Cluster Maya Persada Regency,Bekasi,"1,2 Miliar",2,2,1,60,90,https://www.rumah123.com/properti/bekasi/hos9665379/
Kota Wisata Cibubur Cluster Mississippi Free DP Free KPR Free Kanopi,Bogor,"1,55 Miliar",3,3,0,121,84,https://www.rumah123.com/properti/bogor/hos9217666/
Rumah Gaya Bali Tanah Luas Hanya 10 Menit Ke Pintu Tol Cimanggis,Depok,495 Juta,2,1,1,66,40,https://www.rumah123.com/properti/depok/hos9430784/
Rumah 2 Lantai Tapos 15 menit ke Pintu Tol Cimanggis Depok,Depok,481 Juta,2,2,1,40,46,https://www.rumah123.com/properti/depok/hos9432016/
Rumah Tapos Depok Eksklusif Dekat Tol Cimanggis,Depok,400 Juta,2,1,0,62,36,https://www.rumah123.com/properti/depok/hos8522554/
Rumah Skandinavia 2 Lantai Eksklusif dekat Pintu Tol Cimanggis,Depok,700 Juta,3,2,2,69,60,https://www.rumah123.com/properti/depok/hos9676132/
Rumah 2 Lantai dengan Rooftop Depok Eksklusif 10 menit ke Pintu Tol Cimanggis,Depok,757 Juta,3,2,0,61,55,https://www.rumah123.com/properti/depok/hos9243381/
Rumah Depok Cibubur 2 Lantai Gaya Bali Dekat Tol,Depok,925 Juta,3,2,0,102,56,https://www.rumah123.com/properti/depok/hos7851838/
Pinewood Residence Summarecon Bogor,Bogor,"1,5 Miliar",3,3,2,144,159,https://www.rumah123.com/properti/bogor/hos9675000/
Rapih dan Siap Nego Kota Wisata LT 300 LB 350 ,Bogor,"3,5 Miliar",4,3,0,300,350,https://www.rumah123.com/properti/bogor/hos9673977/
RUMAH PANCORAN MAS DEPOK MURAH,Depok,450 Juta,2,1,1,70,45,https://www.rumah123.com/properti/depok/hos9676342/
Rumah siap huni dan siap bangun minimalis moderen lokasi strategis di Bandung,Bandung,195 Juta,2,1,0,60,25,https://www.rumah123.com/properti/bandung/hos9819689/
Rumah Elysium Garden Elysium Residence Lippo Cikarang,Cikarang,"3,7 Miliar",4,5,0,220,300,https://www.rumah123.com/properti/cikarang/hos8625933/
Ini Kann Yang Anda Cari.. Hunian Keluarga Cerdas Komplek Budi Asri Pesantren Cibabat,Cimahi,"3,1 Miliar",6,5,2,283,350,https://www.rumah123.com/properti/cimahi/hos9623389/
Rumah d perumahan dekat kota bandung berkonsep syariah lebar jalan 8 meter,Bandung,486 Juta,3,2,2,120,80,https://www.rumah123.com/properti/bandung/hos9542541/
Rumah harga murah bisa langsung huni,Bandung,279 Juta,2,2,1,50,72,https://www.rumah123.com/properti/bandung/hos9542590/
RUMAH SIAP HUNI JALAN UTAMA LEBAR 8 METER,Bandung,280 Juta,2,2,0,72,50,https://www.rumah123.com/properti/bandung/hos8132699/
RUMAH 2 KAMAR TIDUR 2 KAMAR MANDI JLN UTAMA 8M JLN SAYAP 5M,Bandung,252 Juta,2,2,0,72,50,https://www.rumah123.com/properti/bandung/hos7669203/
"Hunian 2 Lantai Exclusive Gaya Bali ADA Kids Pool Lokasi Strategis 1,4 KM ke Gerbang Tol Cijago",Depok,745 Juta,2,2,2,68,51,https://www.rumah123.com/properti/depok/hos9620107/
Rumah Cluster modern gaya bali harga ekonomis ada fasilitas kidspool lokasi strategis di pinggir jalan raya pekapuran,Depok,777 Juta,2,2,2,72,51,https://www.rumah123.com/properti/depok/hos9619925/
Rumah mewah minimalis strategis dibandung,Bandung,251 Juta,2,1,0,78,50,https://www.rumah123.com/properti/bandung/hos8111323/
