name,link,city,price,bedroom,bathroom,parkingarea,surfacearea,buildingarea
"Hunian Berkualitas, Berkonsep Modern Mewah, Strategis, Legalitas Aman Dan Lengkap",https://www.rumah123.com/properti/depok/hos9678542/,Depok,270 Juta,2,1,1,50,36
TERMURAH Rumah Tanah Luas Strategis Dekat Gateway Pasteur Sukajadi dan SMA 13 Andir Bandung,https://www.rumah123.com/properti/bandung/hos8817062/,Bandung,"1,47 Miliar",3,2,1,97,65
Rumah di Setu Bekasi dengan Fasilitas Berkuda dan Memanah Dekat Rencana Pintu Tol Setu,https://www.rumah123.com/properti/bekasi/hos9698668/,Bekasi,337 Juta,2,1,1,66,36
Rumah Mewah Islami Strategis di Pondok Nurul Fikri,https://www.rumah123.com/properti/depok/hos9715009/,Depok,"2,9 Miliar",4,3,1,155,190
Rumah 305juta Rasa Villa di Ciampea Bogor  Akses Langsung Jalan Raya dilengkapi Musholla dan Minipool serta Playground ,https://www.rumah123.com/properti/bogor/hos9713424/,Bogor,305 Juta,1,2,1,36,64
rumah mewah dan minimalis di bandung,https://www.rumah123.com/properti/bandung/hos7535163/,Bandung,350 Juta,3,2,0,100,50
hunian mewah dan minimalis,https://www.rumah123.com/properti/bandung/hos7494968/,Bandung,300 Juta,3,2,0,80,50
rumah minimalis kualitas premium harga terjangkau,https://www.rumah123.com/properti/bandung/hos7256083/,Bandung,150 Juta,2,1,0,45,30
rumah syariah kota Bandung,https://www.rumah123.com/properti/bandung/hos7939314/,Bandung,400 Juta,3,2,0,100,75
Rumah Ternyaman di Setraduta Bandung,https://www.rumah123.com/properti/bandung/hos8853169/,Bandung,"1,6 Miliar",3,3,0,104,120
Perumahan Kota Wisata Cibubur Cluster Miami,https://www.rumah123.com/properti/bogor/hos7866009/,Bogor,"2,7 Miliar",4,4,0,162,164
Jual Cepat Rumah Cantik di Town House Indraprasta,https://www.rumah123.com/properti/bogor/hos9611400/,Bogor,"1,5 Miliar",3,3,0,100,106
Rumah View Pegunungan Aurora Bukit Rancamaya Residence,https://www.rumah123.com/properti/bogor/hos9195805/,Bogor,605 Juta,2,1,1,98,32
Rumah Murah Minimalis Sentul Indah Residence,https://www.rumah123.com/properti/bogor/hos9477235/,Bogor,430 Juta,2,1,1,60,30
Rumah Bagus di Taman Kopo Indah 3,https://www.rumah123.com/properti/bandung/hos6783199/,Bandung,950 Juta,2,1,0,102,70
Rumah murah lokasi strategis di sayap kota bandung  ( cash only),https://www.rumah123.com/properti/bandung/hos9758832/,Bandung,164 Juta,1,1,1,40,21
rumah cantik minimalis modern idaman terbaru Dengan suasana asri,https://www.rumah123.com/properti/bandung/hos8111313/,Bandung,480 Juta,3,2,0,120,80
hunian terlaris di Bandung,https://www.rumah123.com/properti/bandung/hos8254492/,Bandung,500 Juta,4,2,0,120,80
Rumah Cantik yang Luas dekat Tol,https://www.rumah123.com/properti/depok/hos4913676/,Depok,"2,1 Miliar",3,3,0,128,170
FREE FULL FURNISH KAPAN LAGI BISA DAPAT RUMAH SECANTIK INI DI GUNUNG BATU BANDUNG,https://www.rumah123.com/properti/bandung/hos9756190/,Bandung,"1,65 Miliar",3,2,0,128,120
Rumah Adem di Kolonel Masturi Cimahi,https://www.rumah123.com/properti/cimahi/hos8923276/,Bandung,"1,24 Miliar",3,2,1,105,90
"Perumahan Griya Bintara Indah Blok I No. 33, Bekasi Barat (dekat Tol Bintara)",https://www.rumah123.com/properti/bekasi/hos9711175/,Bekasi,"1,5 Miliar",3,2,0,100,300
Rumah Cantik Bagi Kaum Milenial,https://www.rumah123.com/properti/bekasi/hos8000977/,Bekasi,516 Juta,2,1,1,90,36
Rumah Cantik 2 Lantai Depan Taman,https://www.rumah123.com/properti/depok/hos7856744/,Depok,851 Juta,3,2,2,105,68
Di Jatiasih Rumah Mewah 2 Lantai Fasilitas Lengkap,https://www.rumah123.com/properti/bekasi/hos9707897/,Bekasi,900 Juta,2,2,2,60,51
"Rumah Minimalis Terawat, 2 Kamar Tidur , Posisi Jalan Utama Dengan lebar jalan 6 Meter",https://www.rumah123.com/properti/bandung/hos8366517/,Bandung,350 Juta,2,1,0,84,60
Rumah Minimalis di Bandung Dengan Desain modren,https://www.rumah123.com/properti/bandung/hos8366491/,Bandung,261 Juta,2,1,1,70,50
"Hunian Aman , Nyaman Dan Bebas Banjir",https://www.rumah123.com/properti/bandung/hos7868768/,Bandung,261 Juta,3,2,0,120,75
Rumah murah dibandung lebar jln utama 8 meter,https://www.rumah123.com/properti/bandung/hos9625804/,Bandung,433 Juta,3,2,1,108,80
RUMAH DEPOK 2 LANTAI DIBAWAH PASARAN,https://www.rumah123.com/properti/depok/hos9257744/,Depok,400 Juta,2,2,1,40,72
Dijual rumah baru 2 lantai di pondok gede harga paling murah! Pasti Untung,https://www.rumah123.com/properti/bekasi/hos9591314/,Bekasi,895 Juta,3,2,1,65,72
Di Jatiasih Hunian mewah 2 lantai fasilitas lengkap! Pasti Untung,https://www.rumah123.com/properti/bekasi/hos3307011/,Bekasi,900 Juta,2,2,0,60,48
rumah berkualitas aman dan nyaman di Bandung,https://www.rumah123.com/properti/bandung/hos7814616/,Bandung,250 Juta,2,1,0,60,40
Rumah Mezzanine Design Exclusive  Di Jatimulya Bekasi Dekat Tol dan LRT Bekasi Timur,https://www.rumah123.com/properti/bekasi/hos7316986/,Bekasi,539 Juta,2,1,1,60,45
"Turun Harga! Rumah siap huni sudah renov, tinggal masuk di TKI 2 patung kuda",https://www.rumah123.com/properti/bekasi/hos8661247/,Bekasi,900 Juta,2,1,0,112,90
Rumah KPR pribadi / KPR Syariah,https://www.rumah123.com/properti/depok/hos9869891/,Depok,100 Juta,2,1,1,55,36
"Rumah Siap Huni Ancol Timur, Moh Ramdan, BKR Dekat Pasar Ancol jalan besar",https://www.rumah123.com/properti/bandung/hos8785934/,Bandung,"1,75 Miliar",3,2,2,180,150
"Rumah 2lt di sayap bkr , pasirluyu , kembar",https://www.rumah123.com/properti/bandung/hos9751782/,Bandung,550 Juta,2,1,0,49,70
Rumah Di Bogor Dekat Stasiun Cilebut Bogor,https://www.rumah123.com/properti/bogor/hos9791187/,Bogor,730 Juta,4,3,2,60,69
Villa view pegunungan sejuk & strategis dekat tol bandung,https://www.rumah123.com/properti/bandung/hos9778599/,Bandung,"2,57 Miliar",3,3,2,165,127
Rumah Di Cibinong Bogor Nuansa Jepang,https://www.rumah123.com/properti/bogor/hos9790975/,Bogor,658 Juta,2,1,2,72,38
"Rumah BARU, MODERN dan MEWAH setra duta bandung, harga nego",https://www.rumah123.com/properti/bandung/hos9790933/,Bandung,"2,75 Miliar",4,4,1,95,150
Rumah Bagus Area Kopo Katapang,https://www.rumah123.com/properti/bandung/hos9822538/,Bandung,350 Juta,2,1,1,60,47
Rumah murah di Citayam Depok dekat ke stasiun,https://www.rumah123.com/properti/depok/hos9244347/,Depok,285 Juta,2,1,1,60,42
JUAL RMH BAGUS TERAWAT SIAP HUNI CLUSTER LAMARGAS RESIDENCE,https://www.rumah123.com/properti/bandung/hos9758239/,Bandung,"3,5 Juta",3,4,2,222,196
Rumah berkualitas harga standar fullspeek,https://www.rumah123.com/properti/bandung/hos9784350/,Bandung,150 Juta,2,1,1,50,36
rumah siap huni strategis di Arcopolis Cibinong dekat stasiun Bojonggede dan pemda Cibinong,https://www.rumah123.com/properti/bogor/hos8412738/,Bogor,450 Juta,2,1,0,60,40
rumah cantik asri dan minimalis dekat stasiun Cilebut,https://www.rumah123.com/properti/bogor/hos7629318/,Bogor,382 Juta,2,1,0,70,35
RUMAH MINIMALIS MODERN DEKAT PINTU TOL CIMANGGIS,https://www.rumah123.com/properti/depok/hos9327708/,Depok,625 Juta,2,1,2,84,45
Rumah Kavling Pertamina Cibubur,https://www.rumah123.com/properti/depok/hos9666076/,Depok,"1,28 Miliar",3,2,2,120,103
Rumah luas dan apik 1 lantai komplek sawangan dekat de park mall,https://www.rumah123.com/properti/depok/hos9731119/,Depok,"1,4 Miliar",3,2,2,256,80
Rumah Bagus Cluster Taman Menteng Lippo Cikarang,https://www.rumah123.com/properti/cikarang/hos9784496/,Cikarang,"2,25 Miliar",3,2,0,287,180
Rumah Sayap Pasteur di Dekat setra duta dan Setiabudi Harga di bawah harga pasar di Bandung,https://www.rumah123.com/properti/bandung/hos9206140/,Bandung,"2,2 Miliar",4,4,0,200,250
Rumah murah Lux area siap huni 15 menit ke pintutol jatiasaih,https://www.rumah123.com/properti/bogor/hos9560504/,Bogor,890 Juta,2,2,1,70,112
Rumah Cluster mewah dekat jalan utama dan tol sawangan (cash) R.p,https://www.rumah123.com/properti/depok/hos9787454/,Depok,325 Juta,2,1,1,40,62
Di jual rumah berlokasi di kebun kembang asri lokasi strategis,https://www.rumah123.com/properti/purwakarta/hos9334479/,Purwakarta,450 Juta,2,1,1,142,28
Jual rumah di pusat kota karawang ,https://www.rumah123.com/properti/karawang/hos9073773/,Karawang,700 Juta,2,1,1,125,45
Ready Stock Brand New Minimalis,https://www.rumah123.com/properti/depok/hos9787056/,Depok,990 Juta,3,2,1,60,90
Rumah pinggir jalan harga promo dekat stasiun,https://www.rumah123.com/properti/depok/hos9244356/,Depok,280 Juta,2,1,1,60,40
rumah dicibubur,https://www.rumah123.com/properti/bogor/hos9786570/,Bogor,"1,05 Miliar",3,3,1,120,150
Rumah kavling dalam perumahan nyaman dan cantik di kodau jati mekar bekasi,https://www.rumah123.com/properti/bekasi/hos9786422/,Bekasi,"1,35 Miliar",3,3,2,83,100
cepat rumah termurah siap huni di harapan indah Bekasi,https://www.rumah123.com/properti/bekasi/hos9740605/,Bekasi,750 Juta,4,2,1,94,145
Di  cepat rumah termurah di bulevar hijau harapan indah bekasi,https://www.rumah123.com/properti/bekasi/hos9502022/,Bekasi,2 Miliar,3,3,1,170,225
"Rumah , hommy, Kokoh,Fullfurnish,nyaman di komp culdesac Cipaku Indah",https://www.rumah123.com/properti/bandung/hos3887033/,Bandung,"3,25 Miliar",4,3,0,280,250
RUMAH MURAH BERKUALITAS DI TIMUR CIBUBUR,https://www.rumah123.com/properti/bogor/hos9528151/,Bogor,200 Juta,2,1,0,85,30
RUMAH SUBSIDI BERKUALITAS DI CILEUNGSI HARGA DIBAWAH 200 JT -AN,https://www.rumah123.com/properti/bogor/hos9893553/,Bogor,168 Juta,2,1,1,60,30
Mini cluster bintara jaya harga termurah rumah lantai 2 akses terdekat caman pondok kelapa,https://www.rumah123.com/properti/bekasi/hos4884886/,Bekasi,600 Juta,3,2,1,50,100
Cluster 2.5 lantai desain modern harga terjangkau lokasi 7 menit ke tol beji kukusan,https://www.rumah123.com/properti/depok/hos9731215/,Depok,"1,01 Miliar",3,2,2,80,71
"Cluster 2 Lantai dengan Konsep Green Minimalis Elegan yang menyajikan Hunian Aman, Nyaman dan Sejuk di Kota Depok dengan AKSES TERBAIK dan HARGA TERJANGKAU",https://www.rumah123.com/properti/depok/hos9866951/,Depok,880 Juta,3,2,2,60,74
Rumah 2 Lantai Lokasi SUPER STRATEGIS di Pusat Kota Depok Pinggir Jalan Margonda dengan Harga SUPER TERJANGKAU,https://www.rumah123.com/properti/depok/hos9846810/,Depok,"1,03 Miliar",3,2,2,63,61
Rumah siap huni lingkungan nyaman fasilitas lengkap harga terjangkau lokasi dekat gdc depok,https://www.rumah123.com/properti/depok/hos9738244/,Depok,800 Juta,2,1,1,105,55
"Cluster Adara, Kota Harapan Indah",https://www.rumah123.com/properti/bekasi/hos9430479/,Bekasi,"1,69 Miliar",2,2,0,108,69
Rumah mewah 2 lantai free desain,https://www.rumah123.com/properti/bogor/hos9684078/,Bogor,600 Juta,3,2,2,70,54
Cluster murah dekat tol kopo,https://www.rumah123.com/properti/bandung/hos9750586/,Bandung,155 Juta,2,1,0,36,60
Turun Harga Siap Huni 1M an 400 mtr Ke Carrefour Buah Batu Bandung,https://www.rumah123.com/properti/bandung/hos6906767/,Bandung,"1,43 Miliar",3,4,0,91,122
Rumah Siap Huni di Harapan Indah Bulevar Hijau Bekasi,https://www.rumah123.com/properti/bekasi/hos9457318/,Bekasi,"1,6 Miliar",4,3,1,135,150
Rumah Nyaman di Jatibening,https://www.rumah123.com/properti/bekasi/hos7645402/,Bekasi,"1,75 Miliar",3,2,0,168,124
