name,city,bedroom,bathroom,parkingarea,surfacearea,buildingarea,price
Jual rumah di pusat kota karawang ,0,2,1,1,45,70,175000000
Ready Stock Brand New Minimalis,2,4,2,1,160,160,1920000000
PROMO DP 0% Free Biaya MARGONDA ECOPARK - Premium Modern Living Concept In Margo City Area,0,3,1,0,120,90,1180000000
Rumah pinggir jalan harga promo dekat stasiun,8,2,1,1,66,45,350000000
rumah dicibubur,8,2,1,1,65,40,220000000
Rumah kavling dalam perumahan nyaman dan cantik di kodau jati mekar bekasi,3,3,2,0,126,102,1600000000
Rumah Baru Eksklusif Dago Master Piece,2,2,1,0,65,45,570000000
cepat rumah termurah siap huni di harapan indah Bekasi,2,2,1,0,65,40,375000000
Di  cepat rumah termurah di bulevar hijau harapan indah bekasi,0,3,3,0,145,175,3800000000
"Dijual Kontrakan 7 Pintu Kampung Ciketing, Mustika Jaya",8,2,2,0,72,60,450000000
"Rumah , hommy, Kokoh,Fullfurnish,nyaman di komp culdesac Cipaku Indah",8,3,3,1,62,100,950000000
Rumah baru minimalis lokasi bintara jaya bekasi barat akses caman pondok kelapa,8,3,2,2,80,60,1390000000
Dijual Rumah di Jl. Srikusumah,8,2,1,0,74,45,590000000
Rumah Bagus di Jl. Cigadung Selatan - Bandung,8,3,3,0,70,100,890000000
RUMAH MURAH BERKUALITAS DI TIMUR CIBUBUR,2,2,2,1,60,50,992000000
RUMAH SUBSIDI BERKUALITAS DI CILEUNGSI HARGA DIBAWAH 200 JT -AN,2,3,3,1,120,200,2500000000
Mini cluster bintara jaya harga termurah rumah lantai 2 akses terdekat caman pondok kelapa,2,3,2,0,112,150,990000000
Rumah baru konsep pembangunan inden lokasi dekat dengan Bintara jaya.cakung.jati asih.pondok kelapa.buaran.jakarta timur,2,4,3,0,160,280,3490000000
Cluster 2.5 lantai desain modern harga terjangkau lokasi 7 menit ke tol beji kukusan,2,3,2,0,119,15,1150000000
"Cluster 2 Lantai dengan Konsep Green Minimalis Elegan yang menyajikan Hunian Aman, Nyaman dan Sejuk di Kota Depok dengan AKSES TERBAIK dan HARGA TERJANGKAU",2,4,3,0,190,224,3100000000
Rumah 2 Lantai Lokasi SUPER STRATEGIS di Pusat Kota Depok Pinggir Jalan Margonda dengan Harga SUPER TERJANGKAU,2,4,3,0,209,150,1700000000
Rumah siap huni lingkungan nyaman fasilitas lengkap harga terjangkau lokasi dekat gdc depok,8,3,3,1,60,100,775000000
"Cluster Adara, Kota Harapan Indah",2,2,1,1,53,36,491000000
Rumah mewah 2 lantai free desain,2,3,2,1,55,62,609000000
Kost-Kostan 8 Kamar Full Furnished di Griya Bandung Asri,2,3,2,0,80,76,930000000
Cluster murah dekat tol kopo,2,2,1,1,60,40,500000000
Turun Harga Siap Huni 1M an 400 mtr Ke Carrefour Buah Batu Bandung,3,2,1,0,69,40,496000000
Rumah Siap Huni di Harapan Indah Bulevar Hijau Bekasi,0,4,3,1,127,160,2850000000
